repo https://github.com/CBIIT/cds-model
commit 9a73b3e
node	property	value_or_TYPE
MultiplexMicroscopy	MultiplexMicroscopy_id	STRING
MultiplexMicroscopy	acquisition_method_type	Autopsy
MultiplexMicroscopy	acquisition_method_type	Biopsy
MultiplexMicroscopy	acquisition_method_type	Blood draw
MultiplexMicroscopy	acquisition_method_type	Core needle biopsy
MultiplexMicroscopy	acquisition_method_type	Excisional Biopsy
MultiplexMicroscopy	acquisition_method_type	Fine needle aspirate
MultiplexMicroscopy	acquisition_method_type	Forceps Biopsy
MultiplexMicroscopy	acquisition_method_type	Incisional Biopsy
MultiplexMicroscopy	acquisition_method_type	Lymphadenectomy (regional nodes)
MultiplexMicroscopy	acquisition_method_type	Not applicable
MultiplexMicroscopy	acquisition_method_type	Not reported
MultiplexMicroscopy	acquisition_method_type	Not specified
MultiplexMicroscopy	acquisition_method_type	Other
MultiplexMicroscopy	acquisition_method_type	Pancreaticoduodenectomy
MultiplexMicroscopy	acquisition_method_type	Punch biopsy
MultiplexMicroscopy	acquisition_method_type	Re-excision
MultiplexMicroscopy	acquisition_method_type	Sentinel node biopsy
MultiplexMicroscopy	acquisition_method_type	Shave biopsy
MultiplexMicroscopy	acquisition_method_type	Surgical Resection
MultiplexMicroscopy	acquisition_method_type	Unknown
MultiplexMicroscopy	antibody_name	STRING
MultiplexMicroscopy	catalog_number	STRING
MultiplexMicroscopy	channel_id	STRING
MultiplexMicroscopy	channel_metadata_file_url_in_cds	STRING
MultiplexMicroscopy	channel_metadata_filename	STRING
MultiplexMicroscopy	channel_name	STRING
MultiplexMicroscopy	clone	STRING
MultiplexMicroscopy	concentration	0
MultiplexMicroscopy	concentration	1
MultiplexMicroscopy	concentration	10
MultiplexMicroscopy	concentration	2
MultiplexMicroscopy	concentration	3
MultiplexMicroscopy	concentration	4
MultiplexMicroscopy	concentration	5
MultiplexMicroscopy	concentration	6
MultiplexMicroscopy	concentration	7
MultiplexMicroscopy	concentration	8
MultiplexMicroscopy	concentration	9
MultiplexMicroscopy	crdc_id	STRING
MultiplexMicroscopy	cycle_number	STRING
MultiplexMicroscopy	dilution	0
MultiplexMicroscopy	dilution	1
MultiplexMicroscopy	dilution	10
MultiplexMicroscopy	dilution	2
MultiplexMicroscopy	dilution	3
MultiplexMicroscopy	dilution	4
MultiplexMicroscopy	dilution	5
MultiplexMicroscopy	dilution	6
MultiplexMicroscopy	dilution	7
MultiplexMicroscopy	dilution	8
MultiplexMicroscopy	dilution	9
MultiplexMicroscopy	embedding_medium	DMEM
MultiplexMicroscopy	embedding_medium	DMEM+Serum
MultiplexMicroscopy	embedding_medium	None
MultiplexMicroscopy	embedding_medium	PBS+Serum
MultiplexMicroscopy	embedding_medium	RPMI+Serum
MultiplexMicroscopy	emission_bandwidth	0
MultiplexMicroscopy	emission_bandwidth	1
MultiplexMicroscopy	emission_bandwidth	10
MultiplexMicroscopy	emission_bandwidth	2
MultiplexMicroscopy	emission_bandwidth	3
MultiplexMicroscopy	emission_bandwidth	4
MultiplexMicroscopy	emission_bandwidth	5
MultiplexMicroscopy	emission_bandwidth	6
MultiplexMicroscopy	emission_bandwidth	7
MultiplexMicroscopy	emission_bandwidth	8
MultiplexMicroscopy	emission_bandwidth	9
MultiplexMicroscopy	emission_wavelength	0
MultiplexMicroscopy	emission_wavelength	1
MultiplexMicroscopy	emission_wavelength	10
MultiplexMicroscopy	emission_wavelength	2
MultiplexMicroscopy	emission_wavelength	3
MultiplexMicroscopy	emission_wavelength	4
MultiplexMicroscopy	emission_wavelength	5
MultiplexMicroscopy	emission_wavelength	6
MultiplexMicroscopy	emission_wavelength	7
MultiplexMicroscopy	emission_wavelength	8
MultiplexMicroscopy	emission_wavelength	9
MultiplexMicroscopy	excitation_bandwidth	0
MultiplexMicroscopy	excitation_bandwidth	1
MultiplexMicroscopy	excitation_bandwidth	10
MultiplexMicroscopy	excitation_bandwidth	2
MultiplexMicroscopy	excitation_bandwidth	3
MultiplexMicroscopy	excitation_bandwidth	4
MultiplexMicroscopy	excitation_bandwidth	5
MultiplexMicroscopy	excitation_bandwidth	6
MultiplexMicroscopy	excitation_bandwidth	7
